timestamp,temperature.gpu,clocks.sm,clocks.mem,power.draw,memory.used,utilization.gpu,clocks_throttle_reasons.sw_thermal_slowdown,clocks_throttle_reasons.hw_thermal_slowdown,clocks_throttle_reasons.sw_power_cap
2026/09/22 08:30:32.138, 78, 1035, 6000, 33.55, 702, 5, Not Active, Not Active, Not Active
2026/09/22 08:30:34.225, 77, 1035, 6000, 33.88, 702, 0, Not Active, Not Active, Not Active
2026/09/22 08:30:36.344, 77, 1035, 6000, 33.05, 853, 0, Not Active, Not Active, Not Active
2026/09/22 08:30:38.600, 78, 1635, 6000, 48.09, 6249, 24, Not Active, Not Active, Not Active
2026/09/22 08:30:40.944, 77, 615, 5500, 32.85, 7697, 1, Not Active, Not Active, Not Active
2026/09/22 08:30:43.017, 76, 255, 405, 21.38, 7697, 12, Not Active, Not Active, Not Active
2026/09/22 08:30:45.093, 78, 1350, 6000, 47.34, 7911, 71, Not Active, Not Active, Not Active
2026/09/22 08:30:47.171, 79, 1350, 6000, 84.89, 7923, 95, Not Active, Not Active, Active
2026/09/22 08:30:49.245, 79, 1185, 6000, 73.54, 7923, 96, Active, Not Active, Not Active
2026/09/22 08:30:51.298, 80, 1290, 6000, 79.86, 7923, 95, Active, Not Active, Not Active
2026/09/22 08:30:53.360, 79, 1035, 6000, 64.55, 7923, 96, Active, Not Active, Not Active
2026/09/22 08:30:55.410, 80, 855, 6000, 62.67, 7923, 75, Active, Not Active, Not Active
2026/09/22 08:30:57.468, 79, 1080, 6000, 67.03, 7923, 98, Active, Not Active, Not Active
2026/09/22 08:30:59.553, 79, 1050, 6000, 65.30, 7923, 100, Active, Not Active, Not Active
2026/09/22 08:31:01.607, 79, 1035, 6000, 65.20, 7923, 100, Active, Not Active, Not Active
2026/09/22 08:31:03.677, 79, 900, 6000, 58.04, 7923, 98, Active, Not Active, Not Active
2026/09/22 08:31:05.735, 79, 960, 6000, 57.97, 7923, 98, Active, Not Active, Not Active
2026/09/22 08:31:07.785, 79, 885, 6000, 57.94, 7923, 100, Active, Not Active, Not Active
